"title","url","description"
"Representative Ron Wright of Texas Dies After Battling Covid-19","https://www.nytimes.com/2021/02/08/us/ron-wright-dies-covid-19.html","Representative Ron Wright, Republican of Texas, died on Sunday after battling Covid-19 in the hospital, his office said on Monday. He was 67."
"Representative Ron Wright of Texas Dies After Battling Covid-19","https://www.nytimes.com/2021/02/08/us/ron-wright-dies-covid-19.html","Representative Ron Wright, Republican of Texas, died on Sunday after battling Covid-19 in the hospital, his office said on Monday. He was 67."
"Covid Crossroads: The Haves, Have-nots and Those Waiting","https://www.nytimes.com/2021/02/08/health/covid-vaccines-rollout.html","Frustration and at times resentment among those struggling to get a shot, and tempered elation on the other side of the divide."
"Facebook says it plans to remove posts with false vaccine claims.","https://www.nytimes.com/2021/02/08/technology/facebook-vaccine-misinformation.html","The move, which applies to anti-vaccine posts unrelated to Covid as well, targets unpaid posts to the site and particularly Facebook pages and groups."
"U.S. lawmakers say Trump appointees interfered with COVID-19 testing guidance - Reuters","https://www.reuters.com/article/us-health-coronavirus-usa-clyburn/u-s-lawmakers-say-trump-appointees-interfered-with-covid-19-testing-guidance-idUKKBN2A81VR","U.S. lawmakers say Trump appointees interfered with COVID-19 testing guidance&nbsp;&nbsp;Reuters"
"Pope seeks 'Copernican revolution' for post-COVID economy - The Associated Press","https://apnews.com/article/health-foreign-policy-coronavirus-pandemic-pope-francis-economy-750912448e9d134f3f546ffd8642dfd2","Pope seeks 'Copernican revolution' for post-COVID economy&nbsp;&nbsp;The Associated Press"
"A Single Day With Fewer Than 100,000 Cases of COVID-19 - The Atlantic","https://www.theatlantic.com/health/archive/2021/02/covid-19-cases-dipped-below-100000/617970/","A Single Day With Fewer Than 100,000 Cases of COVID-19&nbsp;&nbsp;The Atlantic"
"Covid symptoms: Is it a cold, flu or coronavirus?","https://www.bbc.co.uk/news/health-54145299","With similar symptoms, deciding whether or not you need to get tested for coronavirus can be tricky."
"Australian Open: How the event is trying to stay Covid-safe","https://www.bbc.co.uk/news/world-australia-55986456","Tens of thousands of tennis fans are being allowed in each day to watch, after a three week delay."
"Covid: Welsh Tory leader calls for UK-wide approach to rules","https://www.bbc.co.uk/news/uk-wales-55965401","Welsh ministers should work with the UK government, the Welsh Tory leader says."
"HS2: Could the pandemic kill off the rail project?","https://www.bbc.co.uk/news/uk-politics-55862648","Covid-19 has intensified the debate among environmental groups about the benefits of the project."
"Covid: Tech helps doctors assess patients’ pain levels","https://www.bbc.co.uk/news/technology-55831453","Two Madrid hospitals are using tech to measure how much pain non-communicative patients are in."
"Texas GOP Rep. Ron Wright Dies After Contracting COVID-19 | Time - TIME","https://time.com/5937403/texas-congress-ron-wright-dies-covid-19/","Texas GOP Rep. Ron Wright Dies After Contracting COVID-19 | Time&nbsp;&nbsp;TIME"
"Vaccine nationalism is worsening Covid-19 in Malawi - CNN","https://www.cnn.com/videos/world/2021/02/08/malawi-blantyre-coronavirus-vaccine-nationalism-covid-19-mckenzie-pkg-intl-hnk-vpx.cnn","Vaccine nationalism is worsening Covid-19 in Malawi&nbsp;&nbsp;CNN"
"Wild maskless Super Bowl celebrations in Covid variant hotspot spark superspreader fears - The Independent","https://www.independent.co.uk/news/world/americas/tampa-superbowl-fans-celebration-florida-coronavirus-b1799219.html","Wild maskless Super Bowl celebrations in Covid variant hotspot spark superspreader fears&nbsp;&nbsp;The Independent"
"Representative Ron Wright of Texas Dies After Battling Covid-19","https://www.nytimes.com/2021/02/08/us/ron-wright-dies-covid-19.html","Representative Ron Wright, Republican of Texas, died on Sunday after battling Covid-19 in the hospital, his office said on Monday. He was 67."
"Representative Ron Wright of Texas Dies After Battling Covid-19","https://www.nytimes.com/2021/02/08/us/ron-wright-dies-covid-19.html","Representative Ron Wright, Republican of Texas, died on Sunday after battling Covid-19 in the hospital, his office said on Monday. He was 67."
"Covid Crossroads: The Haves, Have-nots and Those Waiting","https://www.nytimes.com/2021/02/08/health/covid-vaccines-rollout.html","Frustration and at times resentment among those struggling to get a shot, and tempered elation on the other side of the divide."
"Facebook says it plans to remove posts with false vaccine claims.","https://www.nytimes.com/2021/02/08/technology/facebook-vaccine-misinformation.html","The move, which applies to anti-vaccine posts unrelated to Covid as well, targets unpaid posts to the site and particularly Facebook pages and groups."
